VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Ethiopia,2018,2.6,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Ethiopia,2019,2.6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Ethiopia,2020,2.6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Ethiopia,2021,2.6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Finland,2017,3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Finland,2018,3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Finland,2019,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Finland,2020,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Finland,2021,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,France,2017,30,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,France,2018,30,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,France,2019,30,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,France,2020,30,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,France,2021,30,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Greece,2017,3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Greece,2018,3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Greece,2019,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Greece,2020,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Greece,2021,3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Guinea,2017,38,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Guinea,2018,38,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Guinea,2019,38,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Guinea,2020,38,10^9 m3/year,I,FALSE
